xml_out_path,hash,reward,predict_reward
mjcf_model/2024-04-13_19-32-57/epoch_0/xmlrobot_0,8743807577341,68.82761764526367,67.0412826538086
mjcf_model/2024-04-13_19-32-57/epoch_1/xmlrobot_1,8743807577308,63.2352294921875,67.64116668701172
mjcf_model/2024-04-13_19-32-57/epoch_2/xmlrobot_2,8743807578893,77.21437072753906,65.43888854980469
mjcf_model/2024-04-13_19-32-57/epoch_3/xmlrobot_3,8743773727359,77.32337188720703,71.80199432373047
mjcf_model/2024-04-13_19-32-57/epoch_4/xmlrobot_4,8743807570083,82.52023315429688,78.97743225097656
mjcf_model/2024-04-13_19-32-57/epoch_5/xmlrobot_5,8743773685568,53.733137130737305,70.98030853271484
mjcf_model/2024-04-13_19-32-57/epoch_6/xmlrobot_6,8743773685655,89.72291946411133,72.06414031982422
mjcf_model/2024-04-13_19-32-57/epoch_7/xmlrobot_7,8743773722332,54.868906021118164,84.97770690917969
mjcf_model/2024-04-13_19-32-57/epoch_8/xmlrobot_8,8743773540940,49.669063568115234,70.4161148071289
mjcf_model/2024-04-13_19-32-57/epoch_9/xmlrobot_9,8743802157117,39.203229904174805,69.7431869506836
mjcf_model/2024-04-13_19-32-57/epoch_10/xmlrobot_10,8743773762121,81.75350189208984,65.89427185058594
mjcf_model/2024-04-13_19-32-57/epoch_11/xmlrobot_11,8743773552237,54.60628890991211,67.75012969970703
mjcf_model/2024-04-13_19-32-57/epoch_12/xmlrobot_12,8743773713652,48.865623474121094,65.00038146972656
mjcf_model/2024-04-13_19-32-57/epoch_13/xmlrobot_13,8743773753730,73.00177383422852,64.29176330566406
mjcf_model/2024-04-13_19-32-57/epoch_14/xmlrobot_14,8743773437109,73.72624969482422,64.65853118896484
mjcf_model/2024-04-13_19-32-57/epoch_15/xmlrobot_15,8743773736692,36.657997131347656,64.77584838867188
mjcf_model/2024-04-13_19-32-57/epoch_16/xmlrobot_16,8743773747243,75.22418975830078,68.37911224365234
mjcf_model/2024-04-13_19-32-57/epoch_17/xmlrobot_17,8743773728004,77.9523696899414,65.18327331542969
mjcf_model/2024-04-13_19-32-57/epoch_18/xmlrobot_18,8743773548282,47.5262451171875,67.29057312011719
mjcf_model/2024-04-13_19-32-57/epoch_19/xmlrobot_19,8743802174754,76.14401245117188,62.79152297973633
mjcf_model/2024-04-13_19-32-57/epoch_20/xmlrobot_20,8743773393439,84.90501022338867,66.06828308105469
mjcf_model/2024-04-13_19-32-57/epoch_21/xmlrobot_21,8743773713427,41.309383392333984,68.82327270507812
mjcf_model/2024-04-13_19-32-57/epoch_22/xmlrobot_22,8743773819456,81.92736053466797,57.417198181152344
mjcf_model/2024-04-13_19-32-57/epoch_23/xmlrobot_23,8743773583583,39.05047416687012,72.22879791259766
mjcf_model/2024-04-13_19-32-57/epoch_24/xmlrobot_24,8743773389812,54.599571228027344,64.201904296875
mjcf_model/2024-04-13_19-32-57/epoch_25/xmlrobot_25,8743773753727,8.950530529022217,62.8188362121582
mjcf_model/2024-04-13_19-32-57/epoch_26/xmlrobot_26,8743805108209,40.93551254272461,54.405479431152344
