xml_out_path,hash,reward
mjcf_model\2024-03-14_20-34-34\xmlrobot_37_symm.xml,e25b4469139c147c66767f0c6c3e41be09249f5888db8daeeeb2a16ab6dbcec7,0.07141654084326676
mjcf_model\2024-03-14_20-34-34\xmlrobot_38_symm.xml,d9a6be4c1f57c23911d8d56c1e9df865c5c355e7c572999d76e22b57c65fea38,0.961656466508864
mjcf_model\2024-03-14_20-34-34\xmlrobot_39_symm.xml,785ffaed39c52e26bb6b7b6306c92fb45217dc3396b58ad7c3f8acab93cea6b7,0.8287174494392477
mjcf_model\2024-03-14_20-34-34\xmlrobot_40_symm.xml,d58166504e70df46e3f73becdea80257acf6775498704a2773875d02985c36b7,0.7537965251330591
mjcf_model\2024-03-14_20-34-34\xmlrobot_41_symm.xml,c67c710951e04c2614d275084e6f69b9ebd1e943e4dc96cfdd1c1d6e410f5c54,0.949486027908109
mjcf_model\2024-03-14_20-34-34\xmlrobot_42_symm.xml,4df325f8d5bb1eb73b15f5b17701f7af6ed0dfe13bd040aaf86a92eef5cc7b90,0.42668705424052533
mjcf_model\2024-03-14_20-34-34\xmlrobot_43_symm.xml,2878d85926a3950d9be5d6b87122c5845bbc61666c62a937d129bdf680f310b1,0.5977374397602044
mjcf_model\2024-03-14_20-34-34\xmlrobot_44_symm.xml,3733f6ea302991d4a9ea558ee19ba73833ec33c8d8990eea16f5f939dae8976a,0.6525296078744913
mjcf_model\2024-03-14_20-34-34\xmlrobot_45_symm.xml,92244309eb18d15cdcb8e4a0c3ce6f16876cc18d66a6a3d7c1ae5e0d4f28de67,0.18866362133490566
mjcf_model\2024-03-14_20-34-34\xmlrobot_46_symm.xml,8bab9d736053b90cdf3fafe6e6d5d0dca47eb32c70528b1d648e16b389da2a88,0.9832324496722836
mjcf_model\2024-03-14_20-34-34\xmlrobot_47_symm.xml,13063eba6dba2513c5d537569251e66168f2760adf0b88d10cc2ee0282398c7c,0.6918986400793508
mjcf_model\2024-03-14_20-34-34\xmlrobot_48_symm.xml,e76573cbfa7f0e3e5d85c29a91ea2ab47e9803b1bb5254310899b9c5297aa03e,0.3706729490160775
mjcf_model\2024-03-14_20-34-34\xmlrobot_50_symm.xml,869ecd044e6e8066c391ca4765128d8598399ffb4ed8d0f141ecfea09d6ea21a,0.6508294154586957
mjcf_model\2024-03-14_20-34-34\xmlrobot_51_symm.xml,26aac84c7eb77519cf0c50d530dc747970e8ce62cf57f418cc70b2ba9482d7ef,0.2466330985842351
